P50,pxmin,pkx,h3
-0.870375413,-0.859248839,0%,
-1.740750825,-1.840809841,0%,
-2.611126238,-2.921439074,0%,
-3.48150165,-4.076371045,0%,
-4.351877063,-5.288027902,0%,
-5.222252475,-6.544306864,0%,
-6.092627888,-7.836769373,0%,
-6.9630033,-9.159363146,0%,
-7.833378713,-10.50761004,0%,
-8.703754125,-11.87809899,0%,
-0.870375413,-0.565419216,50%,25
-1.740750825,-1.284497301,50%,25
-2.611126238,-2.092208928,50%,25
-3.48150165,-2.961487805,50%,25
-4.351877063,-3.880716339,50%,25
-5.222252475,-4.833807856,50%,25
-6.092627888,-5.825379213,50%,25
-6.9630033,-6.857526267,50%,25
-7.833378713,-7.906470834,50%,25
-8.703754125,-8.974229707,50%,25
-0.870375413,-0.568699803,100%,25
-1.740750825,-1.331406445,100%,25
-2.611126238,-2.14452336,100%,25
-3.48150165,-2.985079926,100%,25
-4.351877063,-3.843677279,100%,25
-5.222252475,-4.71532506,100%,25
-6.092627888,-5.596986066,100%,25
-6.9630033,-6.486646778,100%,25
-7.833378713,-7.38288622,100%,25
-8.703754125,-8.28466141,100%,25
-0.870375413,-0.355245236,50%,100
-1.740750825,-0.823458351,50%,100
-2.611126238,-1.330467021,50%,100
-3.48150165,-1.864267272,50%,100
-4.351877063,-2.414656597,50%,100
-5.222252475,-2.977888341,50%,100
-6.092627888,-3.552519287,50%,100
-6.9630033,-4.135959155,50%,100
-7.833378713,-4.733435687,50%,100
-8.703754125,-5.331441331,50%,100
-0.870375413,-0.294153124,100%,100
-1.740750825,-0.710140694,100%,100
-2.611126238,-1.15162162,100%,100
-3.48150165,-1.605110941,100%,100
-4.351877063,-2.065966764,100%,100
-5.222252475,-2.531948431,100%,100
-6.092627888,-3.001769412,100%,100
-6.9630033,-3.474608841,100%,100
-7.833378713,-3.949903617,100%,100
-8.703754125,-4.427247878,100%,100
